mid,best_bid,best_ask,label
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.505,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.495,0.01,0.99,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.02,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
0.0,0.01,0.0,0
